"MB WAY","MB WAY"
"Please, open your MB WAY App and accept the transaction.","Please, open your MB WAY App and accept the transaction."
"Notification: Unable to confirm payment status.","Notification: Unable to confirm payment status."
"Notification: Transaction ID does not match.","Notification: Transaction ID does not match."
"Notification: Same Status: ","Notification: Same Status: "
"Cannot create an invoice.","Cannot create an invoice."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Waiting capture notification","Waiting capture notification"
"Refunded","Refunded"
"Refund notification received from HiPay","Refund notification received from HiPay"
"MB WAY payment cancelled.","MB WAY payment cancelled."
"Cancelled notification received from HiPay","Cancelled notification received from HiPay"
"HiPay MB WAY","HiPay MB WAY"
"Enabled","Enabled"
"Entity","Entity"
"Username","Username"
"Password","Password"
"Category","Category"
"Sandbox","Sandbox"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maximum Order Total"
"Reference","Reference"
"Mobile number","Mobile number"
"Enter an alternative mobile number to make the payment, if needed:","Enter an alternative mobile number to make the payment:"
