"MB WAY","MB WAY"
"Please, open your MB WAY App and accept the transaction.","Por favor, abra a sua App MB WAY e aceite a transação."
"Notification: Unable to confirm payment status.","Notificação: não foi possível confirmar o estado do pagamento."
"Notification: Transaction ID does not match.","Notificação: Transaction ID não é igual."
"Notification: Same Status: ","Notificação: Estado inalterado: "
"Cannot create an invoice.","Cannot create an invoice."
"Cannot create an invoice without products.","Cannot create an invoice without products."
"Waiting capture notification","Aguarda notificação de captura."
"Refunded","Devolvido"
"Refund notification received from HiPay","Notificação de devolução recebida."
"MB WAY payment cancelled.","Pagamento MB WAY cancelado."
"Cancelled notification received from HiPay","Notificação de cancelamentos recebido do HiPay."
"HiPay MB WAY","HiPay MB WAY"
"Enabled","Ativo"
"Entity","Entidade"
"Username","Username"
"Password","Password"
"Category","Categoria"
"Sandbox","Plataforma de Teste"
"Payment from Applicable Countries","Pagamento aplicável a paises específicos"
"Payment from Specific Countries","Pagamentos de países específicos"
"Minimum Order Total","Valor total mínimo"
"Maximum Order Total","Valor total máximo"
"Reference","Referência"
"Mobile number","Número de telemóvel"
"Enter an alternative mobile number to make the payment, if needed:","Se necessário, introduza um número de telemóvel alternativo para prosseguir com o pagamento:"
